food_name,timestamp,amount
bread,2024-09-23 04:54:21,241.6318725836016
orange,2024-09-26 14:47:02,214.49523153433884
milk,2024-08-15 05:32:42,332.66
potato,2024-08-31 02:51:52,330.93
apple,2024-09-12 16:13:36,142.88
apple,2024-07-16 01:49:35,248.89
apple,2024-07-25 04:42:59,118.54
cake,2024-09-23 03:16:24,244.51
potato,2024-09-21 16:18:19,230.23
vegetable,2024-09-11 13:05:07,109.24
pasta,2024-08-27 12:12:54,550.17
pizza,2024-08-17 08:21:44,366.51
cookie,2024-08-30 20:52:53,66.09
salad,2024-07-04 05:51:59,125.68
apple,2024-07-21 03:32:05,176.62
cake,2024-07-05 15:54:11,360.86
banana,2024-09-03 04:05:06,213.78160009083237
steak,2024-09-13 06:24:47,330.4769552759462
yogurt,2024-08-26 17:53:05,155.65
chicken,2024-08-27 15:11:47,303.42
yogurt,2024-07-29 17:40:45,86.64
milk,2024-09-24 19:28:51,289.9461546781798
milk,2024-07-15 10:44:42,213.1
vegetable,2024-08-07 04:24:13,236.99
cake,2024-09-20 15:44:16,395.71
steak,2024-09-19 06:10:36,180.14288588077673
steak,2024-07-20 12:08:27,196.04
orange,2024-09-06 20:50:49,59.91
bread,2024-09-03 02:07:56,383.329130401657
chicken,2024-07-18 15:49:36,217.78
banana,2024-08-26 11:23:28,161.92
yogurt,2024-09-03 00:57:06,97.37
potato,2024-08-21 19:08:50,314.67
potato,2024-08-16 04:58:40,658.38
chicken,2024-09-12 05:38:47,425.54600342824943
yogurt,2024-07-09 19:00:47,207.76
yogurt,2024-08-09 10:13:16,94.82
banana,2024-09-19 17:00:57,169.06822028798183
orange,2024-08-27 11:15:49,203.68
orange,2024-09-02 20:19:30,245.4
bread,2024-07-06 03:43:59,270.28
salad,2024-07-06 23:21:29,182.6
rice,2024-09-29 05:23:49,274.0400228031346
cheese,2024-08-26 23:22:54,165.98
chicken,2024-08-05 19:59:45,403.88
chicken,2024-08-13 20:33:40,209.07
pasta,2024-09-25 07:50:17,240.49289624216465
potato,2024-09-25 14:42:18,239.12
egg,2024-07-04 08:57:09,99.64
apple,2024-07-03 16:44:14,129.16
egg,2024-09-17 17:39:19,55.57234892195491
fish,2024-07-05 22:57:14,532.56
banana,2024-09-27 13:07:20,153.9949062897841
chicken,2024-07-23 17:31:51,278.28
orange,2024-08-12 13:58:11,265.13
egg,2024-09-14 00:10:46,120.98871228561909
soup,2024-09-18 01:15:00,483.14988005989767
fish,2024-07-23 16:52:51,312.15
fish,2024-07-17 22:03:20,539.74
milk,2024-09-22 18:31:06,729.5217700698464
cookie,2024-08-09 16:14:08,93.11
yogurt,2024-07-02 02:38:41,91.16
pasta,2024-09-23 15:28:14,250.5818798789176
cake,2024-08-06 15:37:50,151.89
fish,2024-09-01 23:45:49,641.23
pasta,2024-09-20 01:24:57,609.226767666285
milk,2024-09-04 17:16:36,215.32679705043205
rice,2024-07-14 07:39:10,457.62
soup,2024-07-06 03:39:24,562.52
cake,2024-07-28 10:20:58,255.12
steak,2024-09-29 03:33:06,759.8782052275056
banana,2024-08-11 05:42:28,161.35
potato,2024-07-02 10:47:31,149.58
apple,2024-08-14 10:01:09,96.52
potato,2024-09-15 14:53:11,327.29
egg,2024-09-10 23:15:25,79.30273571390616
pasta,2024-08-05 03:13:34,172.59
soup,2024-07-05 00:00:53,296.05
cheese,2024-08-23 22:39:50,55.08
pasta,2024-07-29 21:37:37,279.17
pizza,2024-08-04 23:24:05,1065.83
apple,2024-09-05 01:21:58,158.17
rice,2024-07-10 07:27:08,99.6
banana,2024-08-02 03:42:20,113.42
salad,2024-08-10 14:44:34,113.72
pizza,2024-08-18 11:04:46,483.74
soup,2024-09-14 12:11:48,449.8594078164233
milk,2024-07-19 08:47:56,275.93
milk,2024-09-01 10:53:03,292.8897704617146
apple,2024-09-09 12:35:32,161.03
chicken,2024-09-20 07:52:25,215.06996379009877
apple,2024-09-19 00:27:34,110.89
fish,2024-09-01 22:02:00,238.22
cookie,2024-08-01 10:56:52,160.46
potato,2024-09-13 12:43:05,251.46
potato,2024-07-23 07:19:33,287.03
orange,2024-07-08 03:24:30,54.04
cheese,2024-08-21 11:18:42,37.99
orange,2024-09-27 09:26:55,229.22639862226998
pasta,2024-07-31 16:25:49,442.37
rice,2024-07-21 08:34:04,161.28
apple,2024-08-16 07:28:53,290.86
yogurt,2024-08-06 15:36:48,72.14
potato,2024-08-19 21:32:15,388.74
rice,2024-08-09 14:09:50,191.02
salad,2024-07-31 03:08:52,206.85
potato,2024-08-27 21:47:58,83.09
banana,2024-09-13 17:08:22,108.09542964773114
apple,2024-09-03 02:21:49,83.25
potato,2024-08-05 22:09:31,395.61
steak,2024-07-27 23:55:28,430.57
fish,2024-07-07 21:05:41,305.89
vegetable,2024-08-04 06:54:49,260.68
apple,2024-09-22 07:08:48,223.91
yogurt,2024-07-18 21:58:15,129.55
milk,2024-08-25 22:22:30,269.73
chicken,2024-08-08 19:39:00,593.32
cake,2024-09-24 14:24:13,302.27
banana,2024-09-21 06:54:43,184.4380584959802
steak,2024-07-04 13:48:50,608.7
rice,2024-08-02 10:11:14,98.69
cookie,2024-09-06 19:59:47,77.75117358896969
cookie,2024-08-06 15:41:34,66.31
potato,2024-07-12 17:08:13,153.35
milk,2024-09-24 08:14:30,290.2587510445729
chicken,2024-08-30 20:52:27,196.74
bread,2024-07-24 19:49:57,146.39
vegetable,2024-09-24 09:16:40,94.66
steak,2024-09-30 08:08:19,163.23393906649716
pasta,2024-09-24 09:47:39,467.7072115784265
milk,2024-08-31 02:50:00,138.55
orange,2024-07-20 05:31:34,273.71
chicken,2024-07-13 07:37:33,662.83
steak,2024-08-13 12:36:08,311.19
salad,2024-07-26 23:34:30,238.72
cake,2024-09-28 17:56:02,413.08
cake,2024-08-15 00:20:08,211.04
vegetable,2024-08-02 22:08:06,195.97
steak,2024-08-15 03:01:05,680.04
soup,2024-08-14 17:43:07,301.43
bread,2024-07-03 14:42:31,91.73
cookie,2024-07-20 20:13:00,117.17
salad,2024-09-28 18:41:41,185.26
steak,2024-08-25 17:57:45,300.56
pasta,2024-09-05 16:35:34,218.45318979009923
fish,2024-07-27 17:54:23,332.61
pasta,2024-09-29 21:16:22,349.3361918945696
salad,2024-08-06 00:10:16,170.63
banana,2024-07-31 03:52:32,103.9
potato,2024-07-21 09:33:01,142.33
yogurt,2024-08-21 18:53:49,184.17
fish,2024-08-13 08:15:17,172.83
yogurt,2024-09-17 09:13:06,74.1
chicken,2024-07-01 04:03:26,544.86
steak,2024-09-11 02:52:25,888.7124918371288
potato,2024-07-11 10:29:16,517.33
cheese,2024-09-27 23:58:24,259.9876305601948
chicken,2024-07-05 08:15:43,409.66
chicken,2024-07-24 23:01:22,289.65
salad,2024-09-22 08:33:36,147.65
egg,2024-08-19 12:33:27,31.1
fish,2024-09-07 10:13:23,387.65
cookie,2024-09-13 18:58:40,52.56929006883118
orange,2024-09-20 16:54:51,58.76
salad,2024-07-18 12:15:01,110.5
apple,2024-09-07 00:08:46,229.76
banana,2024-07-15 05:39:25,67.93
potato,2024-08-14 16:26:49,185.9
rice,2024-07-01 15:52:36,255.93
cheese,2024-07-14 11:31:32,105.71
steak,2024-07-17 14:49:18,531.59
apple,2024-07-14 23:29:59,177.89
potato,2024-08-18 04:25:55,407.7
cake,2024-09-05 19:04:13,200.86
chicken,2024-09-06 03:10:54,661.2210681939977
steak,2024-09-26 02:57:19,430.4003575045349
potato,2024-07-26 15:42:15,257.39
cheese,2024-09-28 04:39:33,161.8633628026771
steak,2024-07-29 01:47:37,435.46
steak,2024-08-07 03:19:47,512.22
chicken,2024-08-01 03:23:08,150.15
pasta,2024-07-07 07:51:52,232.39
cookie,2024-09-20 17:51:07,123.8076838911293
milk,2024-09-23 13:58:32,280.3989406545912
rice,2024-07-21 05:10:20,409.66
apple,2024-08-10 19:56:33,209.53
cake,2024-08-12 02:54:59,245.73
chicken,2024-07-08 21:30:20,416.55
egg,2024-09-24 02:24:56,62.55874492958037
apple,2024-09-24 19:20:25,220.62748105282958
soup,2024-07-19 08:12:19,268.83
cookie,2024-09-03 11:22:48,32.213609881764015
potato,2024-08-21 08:29:03,354.22
cookie,2024-08-25 15:11:21,113.53
chicken,2024-07-10 15:54:38,416.0
pizza,2024-07-26 10:37:18,202.15
salad,2024-08-06 09:58:50,252.05
vegetable,2024-07-07 14:10:37,146.38
cake,2024-09-25 10:51:42,258.48
orange,2024-08-24 09:36:49,101.61
banana,2024-08-01 16:46:19,99.06
rice,2024-07-01 20:57:18,64.83
banana,2024-07-17 13:28:15,118.58
egg,2024-08-16 05:56:23,54.87
apple,2024-08-02 11:39:54,110.14
chicken,2024-07-06 22:34:26,755.19
fish,2024-07-29 13:39:27,530.76
vegetable,2024-07-20 13:22:29,147.59
pizza,2024-08-10 21:58:23,591.98
vegetable,2024-09-07 04:26:14,331.85
egg,2024-08-19 18:50:46,51.18
salad,2024-07-12 21:09:45,71.74
bread,2024-07-29 18:41:21,163.96
rice,2024-08-30 17:17:39,113.86
milk,2024-08-23 23:05:28,423.38
chicken,2024-07-11 23:41:25,277.05
potato,2024-09-26 10:27:50,300.76
milk,2024-07-25 16:23:06,153.52
pasta,2024-09-03 06:59:00,520.4793037353905
steak,2024-09-08 20:05:56,298.0249302008217
potato,2024-07-04 17:09:18,335.36
steak,2024-07-01 03:01:30,806.21
vegetable,2024-09-10 10:42:51,144.23
yogurt,2024-09-12 13:52:13,100.6
salad,2024-07-09 07:13:36,134.84
pizza,2024-07-26 16:57:27,260.18
vegetable,2024-07-31 20:18:58,211.45
cake,2024-07-10 19:34:41,356.49
soup,2024-07-11 16:45:36,227.59
soup,2024-08-07 19:32:47,213.45
potato,2024-08-21 09:07:16,451.53
pizza,2024-07-03 11:25:29,557.4
vegetable,2024-07-16 21:40:35,272.14
yogurt,2024-09-25 00:28:27,88.49
cookie,2024-07-23 15:08:27,49.03
cake,2024-08-16 03:08:15,173.54
orange,2024-09-20 12:41:36,83.66
potato,2024-09-10 22:50:24,395.26
cookie,2024-09-29 00:51:58,187.28042347786155
pasta,2024-09-05 21:52:36,390.513481961534
cheese,2024-08-05 18:06:47,51.84
rice,2024-08-26 13:04:49,119.75
pizza,2024-07-10 05:05:00,348.41
bread,2024-08-03 13:12:47,378.3
chicken,2024-08-15 08:31:39,395.58
vegetable,2024-07-01 19:19:26,340.22
bread,2024-09-14 07:46:50,518.1500981143481
cookie,2024-08-06 07:20:43,18.54
potato,2024-09-13 22:50:55,184.83
milk,2024-09-03 12:11:36,533.2373016721926
apple,2024-09-23 04:22:08,151.75
cake,2024-08-01 06:06:18,151.77
soup,2024-07-17 16:13:24,310.9
cheese,2024-07-24 07:09:39,58.01
cookie,2024-07-03 14:59:18,51.41
fish,2024-09-20 21:21:20,282.21
potato,2024-07-14 10:16:40,500.56
pizza,2024-08-04 03:59:08,511.2
bread,2024-09-18 11:20:08,453.2100296717304
potato,2024-07-05 04:24:44,198.97
fish,2024-08-06 15:26:30,298.46
vegetable,2024-09-10 04:57:28,146.09
apple,2024-07-11 07:38:13,273.82
fish,2024-08-30 04:45:03,83.11
salad,2024-08-13 10:38:25,57.73
cookie,2024-09-30 11:23:34,103.33564803900472
pasta,2024-09-07 04:09:45,288.37792305540984
apple,2024-09-23 20:50:25,155.55
cheese,2024-09-27 02:10:45,73.474117968918
pasta,2024-07-05 10:37:29,281.42
cake,2024-08-24 05:34:10,695.93
pizza,2024-08-06 21:24:58,500.47
banana,2024-08-12 10:36:11,76.65
salad,2024-08-09 19:42:40,108.44
banana,2024-08-16 04:50:25,107.31
pizza,2024-08-02 08:47:03,498.42
banana,2024-08-04 06:25:00,97.07
bread,2024-07-02 01:14:03,223.73
cake,2024-09-29 23:54:01,275.32
pasta,2024-07-23 02:01:11,302.27
salad,2024-07-19 10:05:06,65.26
bread,2024-09-02 00:57:04,266.3480482070785
orange,2024-08-19 06:31:01,122.48
pizza,2024-07-25 10:19:39,225.42
yogurt,2024-07-18 21:30:06,48.5
cookie,2024-08-25 12:59:04,139.94
pasta,2024-09-28 18:49:20,939.3295511352944
bread,2024-07-03 04:58:03,459.16
pasta,2024-07-19 22:02:51,102.08
steak,2024-09-03 18:14:36,669.5411767350605
soup,2024-07-19 12:48:47,165.7
soup,2024-07-03 16:15:09,111.52
fish,2024-09-15 12:11:08,191.97
vegetable,2024-08-20 23:59:05,138.76
cake,2024-07-22 06:36:47,306.15
pizza,2024-08-11 21:05:44,517.55
apple,2024-09-15 06:31:35,135.74
cookie,2024-07-06 13:15:42,38.61
potato,2024-08-08 09:11:27,326.54
potato,2024-09-28 02:33:54,159.16
cheese,2024-09-21 07:26:49,159.69010080440685
vegetable,2024-09-15 20:14:12,220.57
fish,2024-08-01 07:12:45,373.12
potato,2024-09-24 20:04:02,219.09
cake,2024-07-10 05:46:04,323.54
apple,2024-09-20 13:27:20,185.77
soup,2024-08-09 00:38:22,148.51
apple,2024-07-28 05:38:47,225.54
orange,2024-09-19 12:57:58,137.49
potato,2024-07-04 04:23:47,402.94
apple,2024-08-26 08:22:38,75.48
bread,2024-07-14 15:44:24,247.35
apple,2024-07-16 03:57:47,95.51
fish,2024-08-17 00:40:11,612.25
vegetable,2024-07-11 20:17:36,323.86
pizza,2024-07-30 03:14:10,671.96
chicken,2024-07-05 09:22:13,336.92
chicken,2024-09-03 08:30:57,234.66169914399495
rice,2024-09-28 01:27:03,397.61807662511745
egg,2024-08-02 20:57:57,25.21
pasta,2024-09-19 14:07:01,636.1124716860716
rice,2024-07-30 20:30:52,299.56
potato,2024-07-11 02:31:15,383.52
pasta,2024-07-19 21:36:33,138.9
milk,2024-08-27 05:36:44,212.55
chicken,2024-09-04 05:29:32,252.5307129409107
pizza,2024-07-08 14:54:58,201.09
pasta,2024-09-29 16:35:45,592.238397661929
potato,2024-09-24 02:27:15,86.33
rice,2024-07-30 21:22:22,96.79
bread,2024-07-23 04:18:51,195.65
apple,2024-07-29 08:59:59,150.48
pizza,2024-08-15 07:02:35,707.08
bread,2024-09-27 18:41:58,272.923801157488
egg,2024-09-17 02:49:08,63.9793789908635
bread,2024-07-10 00:15:05,309.5
banana,2024-09-28 03:52:52,316.26778010316855
banana,2024-09-14 07:45:28,150.96788831473617
pasta,2024-09-17 16:02:35,587.2281289902172
soup,2024-07-05 15:19:33,305.1
pizza,2024-08-13 03:26:59,287.93
chicken,2024-09-09 05:42:07,783.7707507180245
soup,2024-09-29 23:40:53,816.9704886927274
rice,2024-07-04 07:16:58,69.3
pasta,2024-07-05 11:42:24,149.54
rice,2024-07-25 15:37:33,192.27
apple,2024-09-23 16:36:12,175.26
cookie,2024-07-22 07:44:30,60.51
yogurt,2024-07-24 10:12:55,57.75
steak,2024-07-29 16:46:57,196.4
orange,2024-07-05 02:11:57,100.14
potato,2024-09-19 17:00:33,145.98
cake,2024-07-16 07:33:45,259.52
milk,2024-08-24 16:56:53,494.37
pasta,2024-08-03 11:02:56,250.52
egg,2024-07-18 14:43:49,61.86
orange,2024-09-30 17:42:51,180.869741442322
cheese,2024-08-28 20:20:31,34.14
egg,2024-09-29 06:57:43,95.75988186503842
egg,2024-07-08 11:57:14,26.68
cheese,2024-07-24 06:29:41,76.11
rice,2024-09-14 16:22:32,169.7
orange,2024-07-21 03:13:26,290.91
orange,2024-08-29 16:10:58,34.45
rice,2024-08-05 08:22:06,118.29
orange,2024-09-13 07:40:06,108.17
soup,2024-07-19 04:28:06,540.72
vegetable,2024-09-09 12:20:09,92.76
rice,2024-08-24 03:28:24,163.95
cake,2024-09-05 12:37:48,516.99
apple,2024-07-02 19:21:07,173.9
cake,2024-09-18 10:55:55,329.7
soup,2024-07-11 02:12:20,160.12
salad,2024-07-31 05:58:53,100.87
pasta,2024-07-20 23:41:25,166.8
pizza,2024-09-13 15:50:00,233.35
banana,2024-08-01 08:44:53,81.72
steak,2024-07-29 06:10:20,566.94
pasta,2024-09-24 14:13:32,696.9475371972385
fish,2024-08-04 08:46:31,487.44
cake,2024-07-05 01:23:51,481.9
soup,2024-07-18 01:00:44,385.84
milk,2024-08-31 18:49:24,529.39
pasta,2024-08-22 03:45:45,225.22
apple,2024-07-07 07:10:47,69.95
steak,2024-09-17 23:44:13,443.3381679690136
orange,2024-07-20 06:25:10,113.43
steak,2024-07-13 21:58:08,614.66
pasta,2024-07-13 04:20:38,460.5
salad,2024-07-01 01:00:42,63.16
apple,2024-09-19 06:00:24,141.02
apple,2024-08-08 07:43:29,169.9
cookie,2024-07-02 03:37:07,41.7
pasta,2024-08-12 21:27:32,243.1
banana,2024-07-28 20:18:05,116.28
vegetable,2024-08-22 07:49:55,242.5
cake,2024-08-25 01:17:50,335.38
steak,2024-07-10 20:13:33,269.5
steak,2024-07-30 04:45:15,152.08
chicken,2024-08-19 12:42:58,699.42
orange,2024-08-29 14:30:17,205.52
chicken,2024-07-02 02:16:36,202.71
chicken,2024-09-04 21:43:33,146.31873616315025
egg,2024-08-10 17:25:18,57.13
steak,2024-07-20 07:25:26,603.78
orange,2024-07-28 01:14:41,103.85
apple,2024-08-28 03:58:34,89.79
potato,2024-07-21 21:01:40,452.55
rice,2024-09-16 07:30:26,174.76
potato,2024-07-09 03:28:10,313.79
salad,2024-07-28 00:52:06,231.54
orange,2024-07-02 02:28:28,127.07
salad,2024-09-09 12:22:08,194.49
cheese,2024-07-30 07:32:45,22.82
cake,2024-07-21 03:48:32,341.3
steak,2024-09-13 10:37:26,263.05616584668326
cake,2024-08-06 05:31:03,294.12
banana,2024-07-08 04:21:40,264.17
cake,2024-08-27 03:25:01,98.82
yogurt,2024-07-01 10:56:16,197.36
bread,2024-09-12 00:39:17,352.3738034413199
potato,2024-08-21 06:10:54,459.31
egg,2024-08-26 18:39:44,40.18
cookie,2024-08-27 22:39:21,35.05
pizza,2024-09-23 11:25:02,303.36
apple,2024-08-17 13:20:56,103.31
vegetable,2024-08-26 20:15:30,318.56
pasta,2024-07-21 02:46:44,319.93
cheese,2024-09-08 13:41:40,82.28624881121934
milk,2024-07-16 02:12:03,170.42
orange,2024-07-19 04:07:18,273.22
orange,2024-07-21 18:21:53,222.72
chicken,2024-08-19 20:53:44,487.56
vegetable,2024-09-07 05:22:46,218.3
steak,2024-09-13 08:31:11,397.2021634974414
steak,2024-09-12 06:25:34,380.0782188553063
potato,2024-08-12 04:06:05,382.77
yogurt,2024-09-27 05:09:19,61.58
fish,2024-08-08 00:30:25,318.27
cake,2024-08-22 04:38:10,583.3
bread,2024-07-07 14:32:06,269.42
