food_name,timestamp,amount
rice,2024-09-01 09:21:49,320.93
vegetable,2024-09-27 11:12:05,223.62
banana,2024-09-13 19:33:32,66.76
rice,2024-09-09 13:17:48,82.26
chicken,2024-09-30 13:20:07,328.56
chicken,2024-09-07 12:36:34,481.24
chicken,2024-09-15 00:54:51,237.83
vegetable,2024-09-17 15:25:31,270.11
banana,2024-09-02 10:22:00,159.45
vegetable,2024-09-18 04:29:38,433.52
banana,2024-09-18 01:33:00,381.9
vegetable,2024-09-12 19:24:39,398.51
banana,2024-09-05 04:07:11,146.64
rice,2024-09-15 13:35:41,482.49
chicken,2024-09-17 01:00:43,362.48
vegetable,2024-09-28 02:44:28,301.52
vegetable,2024-09-26 13:23:58,222.69
vegetable,2024-09-10 05:22:51,280.24
banana,2024-09-22 21:30:10,493.07
banana,2024-09-04 06:38:57,101.89
banana,2024-09-08 04:03:52,273.55
chicken,2024-09-05 20:47:47,137.39
vegetable,2024-09-06 17:34:37,203.04
rice,2024-09-18 06:31:52,168.68
rice,2024-09-18 13:57:58,379.35
rice,2024-09-14 15:11:11,438.92
fish,2024-09-01 00:20:52,231.28
fish,2024-09-26 01:30:05,391.6
vegetable,2024-09-21 13:11:30,174.01
vegetable,2024-09-18 03:42:48,371.26
chicken,2024-09-08 15:30:42,443.18
vegetable,2024-09-14 16:08:45,94.78
banana,2024-09-30 23:58:59,440.76
vegetable,2024-09-26 14:02:49,381.71
chicken,2024-09-10 09:12:56,432.45
rice,2024-09-10 04:45:51,389.23
banana,2024-09-18 16:42:51,351.38
rice,2024-09-14 12:57:27,435.98
banana,2024-09-11 08:04:51,422.01
banana,2024-09-30 12:51:51,207.16
fish,2024-09-29 19:23:15,342.78
banana,2024-09-20 17:12:11,159.65
chicken,2024-09-10 17:49:12,372.68
fish,2024-09-26 18:21:34,111.08
rice,2024-09-13 04:56:01,300.16
vegetable,2024-09-04 04:55:55,190.67
chicken,2024-09-13 17:22:56,228.74
rice,2024-09-11 22:40:42,266.47
fish,2024-09-08 12:51:03,113.5
chicken,2024-09-01 09:23:14,246.78
fish,2024-09-02 08:06:26,222.6
banana,2024-09-21 18:36:05,292.92
vegetable,2024-09-05 05:34:23,472.29
fish,2024-09-26 14:50:52,496.78
vegetable,2024-09-01 10:17:10,75.81
